permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
2013-131748 C8,Subdivision,Cima Homes,Final Plat,With Preliminary,Subdivision Recorded,"SF, ROW, DRNG",NA,09/05/2014,09/05/2014 04:26:28 PM,12/23/2013,09/05/2014,2013,78759,2,18
2000-002251 C,Subdivision Joint City/County,FOREST BLUFF SECTION 4,Subdivision Construction Plan,NA,Approved and Released,"SF, PUB",FOREST BLUFF SECTION 4,03/29/2004,03/02/2007 06:10:13 AM,02/03/2004,NA,2004,NA,NA,NA
1994-000010 C8,Subdivision,AUSTIN LAKE HILLS SECTION 4 (RESUB),NA,NA,Expired,"999, 999",AUSTIN LAKE HILLS SECTION 4 (RESUB),NA,03/02/2007 06:10:13 AM,01/18/1994,NA,1994,NA,NA,NA
2008-092901 C,Subdivision Joint City/County,Sun Chase Ph 2,Preliminary Plan,Preliminary,Approved,"Single-Family, Multi-Family, Retail, PUB, GRBLT",NA,NA,07/07/2010 08:23:11 AM,12/01/2008,NA,2008,78617,NA,1434
1997-000071 C8,Subdivision,YUCCA MOUNTAIN (A.K.A. C8-96-0047.0A) **EXPIRED**,NA,NA,Expired,999,YUCCA MOUNTAIN (A.K.A. C8-96-0047.0A) **EXPIRED**,NA,03/02/2007 06:10:13 AM,04/10/1997,NA,1997,NA,NA,NA
1992-000213 C8,Subdivision,DAVIS HILL ESTATES,NA,NA,Closed,"999, 999, 999",DAVIS HILL ESTATES,12/01/1992,03/02/2007 06:10:13 AM,09/18/1992,NA,1992,NA,NA,NA
2017-009081 C,Subdivision Joint City/County,"Block B of Overlook Estates, Phase 2 & Morgan Survey; Resubdivision",Final Plat,Resubdivision,Subdivision Recorded,SF,NA,05/01/2018,05/01/2018 08:53:42 AM,01/25/2017,05/01/2018,2017,78736,1,2
2005-000007 C8,Subdivision,COLORADO CROSSING II - SEC 1 PH 2,Subdivision Construction Plan,NA,Approved and Released,SF,COLORADO CROSSING II - SEC 1 PH 2,10/05/2005,03/02/2007 06:10:13 AM,08/30/2005,NA,2005,NA,NA,NA
1995-000106 C8,Subdivision,SEVEN OAKS SECTION 4,NA,NA,Withdrawn,"999, 999",SEVEN OAKS SECTION 4,04/21/1999,03/02/2007 06:10:13 AM,04/09/1998,NA,1998,NA,NA,NA
2010-084383 C8,Subdivision,"Orig COA , Amended Plt of Lt 2, Blk 82, & Lt 1-A of Po(Resub of C8-2009-0035.0A)",Final Plat,Amended Plat,Subdivision Recorded,RET,NA,04/07/2011,04/07/2011 03:19:50 PM,09/29/2010,04/07/2011,2010,78701,2,2
2002-000134 C,Subdivision Joint City/County,BROOKFIELD ESTATES II,Final Plat,With Preliminary,Expired,SF,BROOKFIELD ESTATES II,01/21/2003,03/02/2007 06:10:13 AM,10/21/2002,NA,2002,NA,NA,NA
2001-000057 C8,Subdivision,"SCENIC POINT SUBDIVISION, PHASE 2 (LOT 5)",Subdivision Construction Plan,NA,Approved and Released,"SF, GRBL, ROW","SCENIC POINT SUBDIVISION, PHASE 2 (LOT 5)",07/08/2005,03/02/2007 06:10:13 AM,12/09/2004,NA,2004,NA,NA,NA
2002-000076 C,Subdivision Joint City/County,PARSONS MEADOWS SECTION 1,Subdivision Construction Plan,NA,Closed,"SF, PUB, ROW",PARSONS MEADOWS SECTION 1,05/10/2005,03/02/2007 06:10:13 AM,01/21/2004,NA,2004,NA,NA,NA
2001-000112 C8,Subdivision,MEADOW LAKE SUBDIVISION - SMART HOUSING,Subdivision Construction Plan,NA,Approved and Released,SF,MEADOW LAKE SUBDIVISION - SMART HOUSING,05/13/2002,03/02/2007 06:10:13 AM,10/29/2001,NA,2001,NA,NA,NA
1994-000236 C8,Subdivision,GAINES RANCH SOUTH,NA,NA,Approved,"999, 999, 999, 999, 999, 999",GAINES RANCH SOUTH,NA,03/02/2007 06:10:13 AM,11/03/1994,NA,1994,NA,NA,NA
2002-000189 C,Subdivision Joint City/County,AVERY SOUTH SEC 2 PH 1,Subdivision Construction Plan,NA,Expired,"SF, ROW, GRBL",AVERY SOUTH SEC 2 PH 1,NA,03/02/2007 06:10:13 AM,08/30/2006,NA,2006,78717,NA,NA
1993-000108 C8,Subdivision,"REAGAN HILL SUBDIVISION, RESUBDIVISION OF LOT 11",NA,NA,Approved,"999, 999","REAGAN HILL SUBDIVISION, RESUBDIVISION OF LOT 11",08/15/1993,03/02/2007 06:10:13 AM,06/29/1993,NA,1993,NA,NA,NA
1992-000045 C8,Subdivision,WESTCREEK SUBDIVISION,Final Plat,Previously Unplatted,Approved,999,WESTCREEK SUBDIVISION,04/17/1992,12/08/2008 09:24:21 AM,03/30/1992,NA,1992,78749,NA,1
1986-000103 C8,Subdivision,LAKE CREEK SHOPPING CENTER,NA,NA,Closed,999,LAKE CREEK SHOPPING CENTER,11/06/1986,03/02/2007 06:10:13 AM,10/06/1986,NA,1986,NA,NA,NA
2001-000251 C,Subdivision Joint City/County,"GREENSHORES ON LAKE AUSTIN, PHASE 1",Subdivision Construction Plan,Non-Concurrent,Approved and Released,"SF, GRBL, ROW","GREENSHORES ON LAKE AUSTIN, PHASE 1",09/24/2003,06/27/2019 09:59:54 AM,09/17/2002,NA,2002,NA,NA,62
2008-057821 C8,Subdivision,Austin Commons,Final Plat,With Replat,Expired,Commercial/RET/MU,NA,NA,07/20/2009 03:45:10 AM,07/24/2008,NA,2008,78758,1,2
2019-241785 C,Subdivision Joint City/County,"Bluebell Ridge Subdivision, Resubdivision of Lot 9, Block C",Final Plat,Resubdivision,Expired,Single Family,NA,NA,02/14/2020 09:01:13 PM,12/30/2019,NA,2019,78610,NA,3
2000-002064 C8,Subdivision,FRIESENHAHN TRACT (WITHDRAWAL AND RESUBMITTAL),Final Plat,Without Preliminary,Withdrawn,OFC,FRIESENHAHN TRACT (WITHDRAWAL AND RESUBMITTAL),04/05/2000,03/02/2007 06:10:13 AM,03/17/2000,NA,2000,78746,NA,NA
2017-078537 C,Subdivision Joint City/County,Community First Phase 2,Final Plat,Without Preliminary,Subdivision Recorded,Commercial Multi Family,NA,05/09/2018,05/09/2018 03:33:20 PM,06/27/2017,05/09/2018,2017,78724,NA,1
2019-138034 C8,Subdivision,EastVillage Preliminary Plan,Preliminary Plan,Revised Preliminary,Approved,Commercial Multi Family,NA,NA,02/20/2020 02:57:36 PM,06/21/2019,02/20/2020,2019,78754,1,36
2016-088996 C8,Subdivision,Oak Ranch Section 2,Final Plat,Previously Unplatted,Expired,Single Family,NA,NA,09/11/2016 09:00:31 PM,07/27/2016,NA,2016,78617,1,1
2016-051998 C8,Subdivision,Austin Gardens,Preliminary Plan,Preliminary,Expired,Single Family,NA,NA,05/27/2017 03:45:16 AM,05/05/2016,NA,2016,78721,7,40
2004-Z234090 C8,Subdivision,CENTURY RANCH NORTH SECTION 1,Final Plat,With Preliminary,Closed,"SF, PUB",CENTURY RANCH NORTH SECTION 1,NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
2014-058239 C,Subdivision Joint City/County,Slaughter Creek Acres Resub of Lot 6-7 Blk G Lot A Resub of Lot 8 Blk G; Amended,Final Plat,Amended Plat,Subdivision Recorded,Single Family,NA,12/11/2014,12/11/2014 09:40:39 AM,06/04/2014,12/11/2014,2014,78748,2,1
2011-066797 C8,Subdivision,"Austin (Pleasant Valley) DTP IV, LLC Addition",Final Plat,Resubdivision,Subdivision Recorded,Retail,NA,05/30/2012,05/30/2012 10:34:08 AM,07/28/2011,05/30/2012,2011,78741,1,2
2019-088462 C8,Subdivision,DCMC Dell Pace Project -MOB,Final Plat,Resubdivision,Subdivision Recorded,PUD,NA,03/11/2020,03/11/2020 09:46:17 AM,06/07/2019,03/11/2020,2019,78723,1,4
2015-038805 C8,Subdivision,CVS Parmer-Metric,Final Plat,Amended Plat,Subdivision Recorded,Commercial,NA,02/18/2016,02/18/2016 09:20:33 AM,04/07/2015,02/18/2016,2015,78758,2,1
2015-143962 C8,Subdivision,Bellingham Meadows Section 2,Final Plat,With Preliminary,Subdivision Recorded,"SF, PUB, ROW",NA,05/16/2016,05/16/2016 02:30:00 PM,12/02/2015,05/16/2016,2015,NA,1,51
2017-131208 C,Subdivision Joint City/County,Timmermann Phase 1 Construction Plans,Subdivision Construction Plan,Concurrent,Approved and Released,"Single Family, Commercial, Multi-Family",NA,NA,01/17/2019 01:29:35 PM,10/17/2017,01/17/2019,2017,NA,NA,170
1984-000102 C8,Subdivision,LANTANA,NA,NA,Closed,999,LANTANA,06/16/1988,03/02/2007 06:10:13 AM,05/26/1988,NA,1988,NA,NA,NA
1995-000085 C8,Subdivision,MICRO-TERRA,NA,NA,Approved,999,MICRO-TERRA,NA,03/02/2007 06:10:13 AM,04/21/1995,NA,1995,NA,NA,NA
2002-000103 C,Subdivision Joint City/County,CIELO VISTA RANCH,Final Plat,With Preliminary,Approved,"SF, CS",CIELO VISTA RANCH,06/02/2003,03/02/2007 06:10:13 AM,12/09/2002,NA,2002,NA,NA,NA
2018-026704 C,Subdivision Joint City/County,Bella Fortuna Phase 1 Subdivision Construction Plans,Subdivision Construction Plan,Concurrent,Approved and Released,Single Family,NA,NA,08/09/2019 01:00:29 PM,03/01/2018,08/09/2019,2018,NA,NA,133
2016-083639 C8,Subdivision,Parker Creek Ranch (with/Resubmittal of C8J-2015-0105),Preliminary Plan,Preliminary,Subdivision Recorded,Single Family,NA,NA,12/19/2018 02:31:10 PM,07/15/2016,03/29/2018,2016,78724,3,388
1994-000267 C8,Subdivision,ESTATES OF BRENTWOOD,NA,NA,Closed,999,ESTATES OF BRENTWOOD,NA,03/02/2007 06:10:13 AM,06/17/1996,NA,1996,NA,NA,NA
2001-000045 C8,Subdivision,HEATHERWILDE BLVD./WELLS BRANCH PKWY.,Subdivision Construction Plan,NA,Closed,"ROW, MF",HEATHERWILDE BLVD./WELLS BRANCH PKWY.,06/08/2001,03/02/2007 06:10:13 AM,02/13/2001,NA,2001,NA,NA,NA
2005-000087 C8,Subdivision,"ESQUEL PHASE ONE, SEC 2 & 3",Subdivision Construction Plan,Street/Drainage,Expired,"SF, 999, 999, 999","ESQUEL PHASE ONE, SEC 2 & 3",NA,06/11/2008 01:31:23 PM,05/12/2006,NA,2006,NA,NA,NA
1982-000206 C8,Subdivision,R & K WOOD SUBDIVISION,NA,NA,Approved,999,R & K WOOD SUBDIVISION,NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,1
2009-135806 C8,Subdivision,"T. C. Steiner Resubdivision, Amended Plat of",Final Plat,Amended Plat,Approved,Single Family,NA,06/17/2010,07/06/2010 01:09:03 PM,12/10/2009,05/20/2010,2009,78704,2,2
1995-000260 C8,Subdivision,CAPITAL AREA FOOD BANK,NA,NA,Approved,999,CAPITAL AREA FOOD BANK,NA,03/02/2007 06:10:13 AM,10/13/1995,NA,1995,NA,NA,2
2002-000184 C8,Subdivision,CROSSING AT ONION CREEK SEC 2,Final Plat,With Preliminary,Approved,SF,CROSSING AT ONION CREEK SEC 2,02/11/2003,03/02/2007 06:10:13 AM,05/14/2002,NA,2002,NA,NA,NA
2001-000082 C8,Subdivision,"RIATA CORPORATE PARK SEC 2, RESUB OF LOTS 4-7, BLOCK B OF RIATA SEC 2",Final Plat,Resubdivision,Approved,OFC,"RIATA CORPORATE PARK SECTION 2, RESUB OF LOTS 4-7, BLOCK B OF RIATA SEC 2",09/26/2001,02/19/2009 03:21:17 PM,04/03/2001,NA,2001,78727,NA,5
2008-068544 C,Subdivision Joint City/County,Pearson Place South,Final Plat,Previously Unplatted,Expired,"Office, Industrial, Multi-Family",NA,NA,09/04/2009 03:45:18 AM,08/29/2008,NA,2008,78717,NA,1
2008-062282 C8,Subdivision,"Colorado Crossing Ph 2, Resub of Lot 1, Blk G, and Lots 1 and 2, Blk E",Final Plat,Resubdivision,Approved,"IND, RET",NA,07/24/2009,09/08/2009 09:20:17 AM,08/07/2008,06/25/2009,2008,NA,3,5
2017-138943 C8,Subdivision,Northacres Sec 3 Resubdivision,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,06/19/2018,06/19/2018 12:27:11 PM,11/02/2017,06/19/2018,2017,78753,1,2
2012-111166 C8,Subdivision,Christian Life Austin,Final Plat,Amended Plat,Subdivision Recorded,NA,NA,03/25/2013,03/25/2013 04:36:58 PM,11/02/2012,03/25/2013,2012,78745,3,1
2016-123589 C8,Subdivision,"Amended Plat of Lots A, B, D of Main Event Subdivsion (W/R C8-2015-0205.0A)",Final Plat,Amended Plat,Expired,Commercial,NA,NA,11/22/2016 09:00:20 PM,10/07/2016,NA,2016,78729,4,4
2017-103341 C8,Subdivision,Knox Preserve,Preliminary Plan,Preliminary,Withdrawn,Single Family,NA,NA,02/26/2019 10:37:25 AM,08/18/2017,NA,2017,78731,2,15
2017-101354 C,Subdivision Joint City/County,"Mirabel Park, Phase 1 Final Plat  Easton Park Section 2C",Final Plat,With Replat,Subdivision Recorded,"Single Family,ROW",NA,10/24/2019,10/24/2019 10:53:25 AM,08/15/2017,10/24/2019,2017,78744,NA,157
1984-000188 C8,Subdivision,WELLS POINT PHASE B SECTION SIX,NA,NA,Closed,999,WELLS POINT PHASE B SECTION SIX,12/05/1986,03/02/2007 06:10:13 AM,11/14/1986,NA,1986,NA,NA,NA
2008-082852 C,Subdivision Joint City/County,"Northwest Hills Ranch Sec 1, Lot F-3 Resub (resub of C8J-2007-0101.0A)",Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,03/31/2011,03/31/2011 01:54:45 PM,10/21/2008,03/31/2011,2008,78759,1,7
2010-090072 C8,Subdivision,"Crossings at Lakeline Phase 1 Replat of Lot 1, Block A",Final Plat,With Replat,Vacated,PUD,NA,07/01/2011,08/23/2013 09:46:59 AM,10/18/2010,07/01/2011,2010,NA,1,2
2002-000206 C,Subdivision Joint City/County,STEINER RANCH PHASE ONE SECTION 10B CONSTRUCTION PLANS,Subdivision Construction Plan,NA,Approved and Released,"SF, GRBL, ROW",STEINER RANCH PHASE ONE SECTION 10B CONSTRUCTION PLANS,10/13/2003,03/02/2007 06:10:13 AM,05/27/2003,NA,2003,NA,NA,NA
1985-000105 C8,Subdivision,SENDERA 12B,NA,NA,Approved and Released,"999, 999",SENDERA 12B,11/02/1998,03/02/2007 06:10:13 AM,05/04/1998,NA,1998,NA,NA,62
2007-000259 C,Subdivision Joint City/County,WATERSEDGE PHASE 1 (SMART HOUSING),Final Plat,With Preliminary,Expired,"RET, 999, ROW, 999, 999, 999, MF, SF, GRBL",WATERSEDGE PHASE 1 (SMART HOUSING),08/13/2008,10/07/2008 01:47:53 PM,01/22/2007,NA,2007,NA,NA,246
1986-000077 C8,Subdivision,WATERFORD ON LAKE TRAVIS SECTION 1,NA,NA,Approved,"999, 999, 999, 999",WATERFORD ON LAKE TRAVIS SECTION 1,10/04/1995,03/02/2007 06:10:13 AM,06/19/1995,NA,1995,NA,NA,65
1992-000057 C8,Subdivision,"BARTON CREEK SECTION G, ADMINISTRATIVE REVISION",NA,NA,Closed,"999, 999, 999, 999","BARTON CREEK SECTION G, ADMINISTRATIVE REVISION",08/24/1993,03/02/2007 06:10:13 AM,08/12/1993,NA,1993,NA,NA,174
2011-066269 C,Subdivision Joint City/County,Orduna Subdivision,Final Plat,Previously Unplatted,Expired,Single Family,NA,NA,09/11/2011 09:00:51 PM,07/27/2011,NA,2011,78610,1,2
2010-013876 C8,Subdivision,Melridge Terrace,Subdivision Construction Plan,Non-Concurrent,Awaiting Update,Single Family,NA,NA,06/10/2010 10:17:04 AM,02/19/2010,NA,2010,78704,NA,6
2002-000009 C8,Subdivision,ALTA MIRA AT CIRCLE 'C' RANCH (RESUBMITTAL OF C8-02-0009.2A),Final Plat,With Preliminary,Expired,"SF, GRBL, ROW",ALTA MIRA AT CIRCLE 'C' RANCH (RESUBMITTAL OF C8-02-0009.2A),02/24/2003,03/02/2007 06:10:13 AM,02/03/2003,NA,2003,NA,NA,NA
1999-000077 C8,Subdivision,HEB PARMER AT DESSAU,Final Plat,Without Preliminary,Withdrawn,999,HEB PARMER AT DESSAU,05/04/1999,03/02/2007 06:10:13 AM,04/20/1999,NA,1999,NA,NA,NA
2013-028090 C8,Subdivision,Raymond H. Stewart Lot B; Resubdivision,Final Plat,Resubdivision,Subdivision Recorded,Dupex,NA,12/17/2013,12/17/2013 10:34:22 AM,03/21/2013,12/17/2013,2013,78704,1,2
1994-000292 C8,Subdivision,PATTERSON PLACE ON CRYSTAL CREEK,NA,NA,Approved,999,PATTERSON PLACE ON CRYSTAL CREEK,NA,03/02/2007 06:10:13 AM,05/26/1995,NA,1995,NA,NA,NA
2019-082310 C8,Subdivision,Riverside and Lamar Resubdivision,Preliminary Plan,Revised Preliminary,Expired,Condominium,NA,NA,06/06/2020 03:45:39 AM,05/28/2019,10/02/2019,2019,78704,2,2
1986-000004 C8,Subdivision,RANCH 4-A P.U.D.,NA,NA,Approved,999,RANCH 4-A P.U.D.,NA,03/02/2007 06:10:13 AM,09/08/1986,NA,1986,NA,NA,NA
1995-000057 C8,Subdivision,"BRYKER WOODS ""E"" BLOCK 5 RESUBDIVISION",NA,NA,Closed,999,"BRYKER WOODS ""E"" BLOCK 5 RESUBDIVISION",NA,03/02/2007 06:10:13 AM,03/21/1995,NA,1995,NA,NA,NA
2006-000049 C,Subdivision Joint City/County,"STEINER RANCH PH 2, SEC 11",Final Plat,Without Preliminary,Approved,999,"STEINER RANCH PH 2, SEC 11",11/16/2006,03/02/2007 06:10:13 AM,03/08/2006,NA,2006,NA,NA,4
1988-000026 C8,Subdivision,SPICEWOOD AT BALCONES VILLAGE SECTION 12,NA,NA,Approved,999,SPICEWOOD AT BALCONES VILLAGE SECTION 12,09/19/1988,10/28/2010 05:08:12 PM,03/22/1988,NA,1988,78750,NA,NA
2005-000003 C,Subdivision Joint City/County,"VALEX ESTATES, REPLAT OF",Final Plat,Without Preliminary,Approved,PUB,"VALEX ESTATES, REPLAT OF",08/30/2005,03/02/2007 06:10:13 AM,01/04/2005,NA,2005,NA,NA,NA
1996-000147 C8,Subdivision,"TODD ADDITION, AMENDED PLAT OF LOTS 2,3 & 4",Final Plat,Amended Plat,Approved,999,"TODD ADDITION, LOTS 2,3 & 4, AMENDED PLAT OF",NA,04/08/2009 10:06:28 AM,07/22/1996,NA,1996,78758,NA,3
1999-002019 C8,Subdivision,SHADOWRIDGE ESTATES,Final Plat,Without Preliminary,Withdrawn,"SF, PUB",SHADOWRIDGE ESTATES,10/05/1999,03/02/2007 06:10:13 AM,08/17/1999,NA,1999,NA,NA,5
2019-065546 C,Subdivision Joint City/County,Longview Phase 1 Final Plat,Final Plat,With Preliminary,Expired,Single Family,NA,NA,04/12/2021 03:45:39 AM,04/29/2019,NA,2019,78617,NA,172
1995-000211 C8,Subdivision,MEADOWS AT DOUBLE CREEK (AKA STABLEWOOD AT SLAUGHTER CREEK),Preliminary Plan,Revised Preliminary,Expired,"SF, RET",STABLEWOOD AT SLAUGHTER CREEK,NA,05/21/2009 11:50:31 AM,10/12/2005,NA,2005,NA,NA,127
2005-000136 C8,Subdivision,"RIDGETOP ANNEX, RESUBDIVISION OF LOT 3 & PART OF LOT 2, BLOCK 17",Final Plat,Resubdivision,Approved,DUP,"RIDGETOP ANNEX, RESUBDIVISION OF LOT 3 & PART OF LOT 2, BLOCK 17",02/02/2006,02/11/2009 10:55:57 AM,07/20/2005,NA,2005,78751,NA,NA
2012-108845 C,Subdivision Joint City/County,Three Points North Subdivision,Final Plat,Previously Unplatted,Subdivision Recorded,NA,NA,08/06/2013,08/06/2013 10:28:17 AM,10/26/2012,08/06/2013,2012,NA,1,2
1986-000080 C8,Subdivision,"SHELTON'S SUBDIVISION,AMENDED PLAT OF LOTS 5,6,& 7",NA,NA,Approved,999,"SHELTON'S SUBDIVISION,AMENDED PLAT OF LOTS 5,6,& 7",NA,03/02/2007 06:10:13 AM,06/20/1986,NA,1986,NA,NA,NA
1984-000197 C8,Subdivision,"SENDERA SOUTH SECTION 4, PHASE B",NA,NA,Approved and Released,"999, 999, 999","SENDERA SOUTH SECTION 4, PHASE B",12/07/1999,03/02/2007 06:10:13 AM,07/01/1999,NA,1999,NA,NA,NA
1991-000005 C8,Subdivision,SUMMER WOODS ADDITION,Final Plat,Without Preliminary,Expired,999,SUMMER WOODS ADDITION,02/11/1991,03/02/2007 06:10:13 AM,01/25/1991,NA,1991,NA,NA,1
1993-000026 C8,Subdivision,PARKWOOD SECTION 1,NA,NA,Approved and Released,"999, 999",PARKWOOD SECTION 1,04/27/1994,03/02/2007 06:10:13 AM,05/26/1993,NA,1993,NA,NA,NA
2018-079389 C8,Subdivision,Lessin Reyna Subdivision,Final Plat,Resubdivision,Expired,Single Family,NA,NA,07/16/2019 03:45:27 AM,05/02/2018,NA,2018,78704,1,2
2018-168176 C,Subdivision Joint City/County,McCormick Ranch on Lake Austin,Final Plat,With Preliminary,Expired,Single Family,NA,NA,11/28/2019 03:45:42 AM,09/24/2018,NA,2018,NA,0,21
1984-000079 C8,Subdivision,WESTMINSTER GLEN PHASE 1-D,NA,NA,Approved and Released,"999, 999",WESTMINSTER GLEN PHASE 1-D,NA,03/02/2007 06:10:13 AM,05/28/1998,NA,1998,NA,NA,NA
2018-136685 C,Subdivision Joint City/County,Sun Chase South Section 6 Construction Plan,Subdivision Construction Plan,Non-Concurrent,Approved and Released,"SF, PUB",NA,NA,04/20/2020 10:11:46 AM,08/13/2018,04/20/2020,2018,78617,NA,45
2014-062330 C8,Subdivision,Duval Park,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,11/06/2014,11/06/2014 01:12:08 PM,06/16/2014,11/06/2014,2014,78751,2,2
1986-000008 C8,Subdivision,MESA FOREST P.U.D.,NA,NA,Approved,"999, 999, 999, 999, 999",MESA FOREST P.U.D.,NA,03/02/2007 06:10:13 AM,06/09/1994,NA,1994,NA,NA,57
2018-011905 C8,Subdivision,600 Harthan,Final Plat,Amended Plat,Subdivision Recorded,Commercial Multi Family,NA,07/06/2018,07/06/2018 11:26:44 AM,01/30/2018,07/06/2018,2018,78703,2,1
2011-021667 C8,Subdivision,"Mueller Subd, Section V, Block 59A; Construction Plans",Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,NA,NA,NA,06/29/2011 11:03:49 AM,03/17/2011,06/29/2011,2011,78723,NA,8
1985-000006 C8,Subdivision,H.E. BRODIE - WESTGATE BLVD./SHEAGATE DRIVE,NA,NA,Approved and Released,999,H.E. BRODIE - WESTGATE BLVD./SHEAGATE DRIVE,05/21/1996,03/02/2007 06:10:13 AM,07/20/1995,NA,1995,NA,NA,NA
1984-000196 C8,Subdivision,FERN BLUFF SECTION ONE-A (PARTIALLY VACATED 5-25-93),NA,NA,Approved,999,FERN BLUFF SECTION ONE-A (PARTIALLY VACATED 5-25-93),11/17/1986,03/02/2007 06:10:13 AM,10/20/1986,NA,1986,NA,NA,35
2002-000233 C,Subdivision Joint City/County,AVERY RANCH EAST PH. 2,Preliminary Plan,Preliminary,Withdrawn,"GRBL, ROW",AVERY RANCH EAST PH. 2,07/25/2003,03/02/2007 06:10:13 AM,12/10/2002,NA,2002,NA,NA,NA
1994-000232 C8,Subdivision,CAT HOLLOW SEC. B (NO LONGER IN AUSTIN ETJ),NA,NA,Closed,"999, 999, 999",CAT HOLLOW SEC. B (NO LONGER IN AUSTIN ETJ),NA,03/02/2007 06:10:13 AM,06/23/1994,NA,1994,NA,NA,NA
2005-000100 C,Subdivision Joint City/County,PANTHER HOLLOW NO. 2,Final Plat,Without Preliminary,Withdrawn,"SF, GRBL",PANTHER HOLLOW NO. 2,NA,03/02/2007 06:10:13 AM,06/20/2005,NA,2005,NA,NA,NA
1993-000161 C8,Subdivision,"ISLAND AT MT. BONNELL SHORES, AMENDED PLAT OF LOTS 1 & 2, BLOCK B",Final Plat,Amended Plat,Approved,999,"ISLAND AT MT. BONNELL SHORES, LOTS 1 & 2, BLK. B AMENDED PLAT",11/18/1993,03/23/2009 02:48:47 PM,09/17/1993,NA,1993,NA,NA,2
2018-106802 C8,Subdivision,Holton Tillery Acres Subdivision,Final Plat,Resubdivision,Subdivision Recorded,Residential,NA,10/04/2019,10/04/2019 04:11:33 PM,06/21/2018,10/04/2019,2018,78702,2,6
1996-000213 C8,Subdivision,C.P.L.M.A. II,Final Plat,Resubdivision,Approved,"999, 999",C.P.L.M.A. II,NA,03/18/2009 08:55:58 AM,10/07/1996,NA,1996,78705,NA,2
1995-000041 C8,Subdivision,ENCLAVE SECTION 4 AT THE VILLAGES OF SPICEWOOD,NA,NA,Approved,"999, 999",ENCLAVE SECTION 4 AT THE VILLAGES OF SPICEWOOD,NA,03/02/2007 06:10:13 AM,01/13/1995,NA,1995,NA,NA,NA
2016-051288 C8,Subdivision,Johns C.R. subdivision Lot 1 and 2 Block 15 Resubdivision,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,10/10/2017,10/10/2017 12:57:56 PM,05/04/2016,10/10/2017,2016,78722,2,3
2010-049550 C8,Subdivision,"Dolan Resubdivision; Westfield ""A"", Resub of the North 175 Ft of Lt 4, Blk 5",Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,02/15/2011,02/15/2011 11:36:10 AM,06/08/2010,02/15/2011,2010,78703,1,2
1995-000045 C8,Subdivision,HARRIS BRANCH PHASE 1-D (WITHDRAWN & RESUBMITTED SEE C8-96-0064),NA,NA,Withdrawn,999,HARRIS BRANCH PHASE 1-D (WITHDRAWN & RESUBMITTED SEE C8-96-0064),NA,03/02/2007 06:10:13 AM,03/16/1995,NA,1995,NA,NA,NA
1988-000106 C8,Subdivision,709 LAMAR PLACE SUBDIVISION,NA,NA,Approved,999,709 LAMAR PLACE SUBDIVISION,01/03/1989,03/02/2007 06:10:13 AM,12/06/1988,NA,1988,78752,NA,NA
1992-000077 C8,Subdivision,"HIELSCHER SECTION TWO,",NA,NA,Approved,"999, 999","HIELSCHER SECTION TWO,",02/20/1995,03/02/2007 06:10:13 AM,11/04/1994,NA,1994,NA,NA,30
1987-000073 C8,Subdivision,FUN QUEST SUBDIVISION,NA,NA,Closed,999,FUN QUEST SUBDIVISION,NA,03/02/2007 06:10:13 AM,09/01/1987,NA,1987,NA,NA,1
1984-000064 C8,Subdivision,COOKE AND NEW SUBDIVISION,NA,NA,Approved,999,COOKE AND NEW SUBDIVISION,NA,03/02/2007 06:10:13 AM,04/11/1984,NA,1984,NA,NA,3
1981-000022 C8,Subdivision,"ARBOR AT GREAT HILLS, THE (RESUBMITTAL OF C8-81-022.16A)",NA,NA,Approved,999,"ARBOR AT GREAT HILLS, THE (RESUBMITTAL OF C8-81-022.16A)",12/20/1995,03/02/2007 06:10:13 AM,09/20/1995,NA,1995,NA,NA,13
2000-Z142420 C8,Subdivision,"SUBDIVISION OF OUTLOT NO. 34, DIVISION B, AMENDED PLAT OF A PORTION OF LOT 3, BL",Final Plat,Without Preliminary,Closed,SF,"SUBDIVISION OF OUTLOT NO. 34, DIVISION B, AMENDED PLAT OF A PORTION OF LOT 3, BLOCK 5",NA,03/02/2007 06:10:13 AM,NA,NA,NA,78702,NA,NA
1982-000075 C8,Subdivision,"SUMMIT AT WEST RIM ON MOUNT LARSON BLOCK D, SECTION 1",NA,NA,Approved,999,"SUMMIT AT WEST RIM ON MOUNT LARSON BLOCK D, SECTION 1",11/10/1999,03/02/2007 06:10:13 AM,04/07/1999,NA,1999,NA,NA,NA
2017-129137 C8,Subdivision,1109 W 31ST STREET,Final Plat,Resubdivision,Expired,Single Family,NA,NA,10/16/2018 03:45:26 AM,10/12/2017,NA,2017,78705,2,2
